Date,Net Sales,Orders,Guests
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000656,19,19,
1970-01-01 00:00:00.000000666,17,17,
1970-01-01 00:00:00.000000373,12,12,
1970-01-01 00:00:00.000000817,24,24,
1970-01-01 00:00:00.000000932,28,28,
1970-01-01 00:00:00.000000709,24,24,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000312,16,16,
1970-01-01 00:00:00.000000461,18,18,
1970-01-01 00:00:00.000000323,10,10,
1970-01-01 00:00:00.000001112,35,35,
1970-01-01 00:00:00.000001203,32,32,
1970-01-01 00:00:00.000000569,17,17,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000147,7,7,
1970-01-01 00:00:00.000000303,10,10,
1970-01-01 00:00:00.000000327,10,10,
1970-01-01 00:00:00.000000835,30,30,
1970-01-01 00:00:00.000001286,38,38,
1970-01-01 00:00:00.000000636,19,19,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000359,12,12,
1970-01-01 00:00:00.000000338,10,10,
1970-01-01 00:00:00.000000555,17,17,
1970-01-01 00:00:00.000000711,27,27,
1970-01-01 00:00:00.000000805,22,22,
1970-01-01 00:00:00.000000805,27,27,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000375,18,18,
1970-01-01 00:00:00.000000296,10,10,
1970-01-01 00:00:00.000000333,11,11,
1970-01-01 00:00:00.000000872,34,34,
1970-01-01 00:00:00.000000952,24,24,
1970-01-01 00:00:00.000000958,28,28,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000498,16,16,
1970-01-01 00:00:00.000000410,14,14,
1970-01-01 00:00:00.000000420,15,15,
1970-01-01 00:00:00.000001394,41,41,
1970-01-01 00:00:00.000001333,34,34,
1970-01-01 00:00:00.000002289,41,41,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000285,8,8,
1970-01-01 00:00:00.000000762,23,23,
1970-01-01 00:00:00.000000537,15,15,
1970-01-01 00:00:00.000001539,50,50,
1970-01-01 00:00:00.000001096,28,28,
1970-01-01 00:00:00.000000891,29,29,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000334,13,13,
1970-01-01 00:00:00.000000410,19,19,
1970-01-01 00:00:00.000000430,23,23,
1970-01-01 00:00:00.000000941,30,30,
1970-01-01 00:00:00.000000864,24,24,
1970-01-01 00:00:00.000000555,18,18,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000190,8,8,
1970-01-01 00:00:00.000000407,13,13,
1970-01-01 00:00:00.000000422,16,16,
1970-01-01 00:00:00.000001084,29,29,
1970-01-01 00:00:00.000001392,41,41,
1970-01-01 00:00:00.000000913,32,32,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000508,16,16,
1970-01-01 00:00:00.000000453,18,18,
1970-01-01 00:00:00.000000755,17,17,
1970-01-01 00:00:00.000000809,28,28,
1970-01-01 00:00:00.000001271,41,41,
1970-01-01 00:00:00.000000908,33,33,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000130,5,5,
1970-01-01 00:00:00.000003824,15,15,
1970-01-01 00:00:00.000000827,30,30,
1970-01-01 00:00:00.000000929,24,24,
1970-01-01 00:00:00.000000775,24,24,
1970-01-01 00:00:00.000000804,25,25,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000505,15,15,
1970-01-01 00:00:00.000000301,11,11,
1970-01-01 00:00:00.000000491,16,16,
1970-01-01 00:00:00.000000954,29,29,
1970-01-01 00:00:00.000001311,29,29,
1970-01-01 00:00:00.000000575,19,19,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000263,8,8,
1970-01-01 00:00:00.000000880,23,23,
1970-01-01 00:00:00.000000974,23,23,
1970-01-01 00:00:00.000000622,19,19,
1970-01-01 00:00:00.000000761,21,21,
1970-01-01 00:00:00.000000858,26,26,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000917,27,27,
1970-01-01 00:00:00.000000980,20,20,
1970-01-01 00:00:00.000000499,15,15,
1970-01-01 00:00:00.000001274,26,26,
1970-01-01 00:00:00.000000989,29,29,
1970-01-01 00:00:00.000000733,21,21,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000251,9,9,
1970-01-01 00:00:00.000000493,16,16,
1970-01-01 00:00:00.000000490,16,16,
1970-01-01 00:00:00.000001073,32,32,
1970-01-01 00:00:00.000001056,28,28,
1970-01-01 00:00:00.000000666,18,18,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000365,10,10,
1970-01-01 00:00:00.000000523,22,22,
1970-01-01 00:00:00.000000313,12,12,
1970-01-01 00:00:00.000001307,37,37,
1970-01-01 00:00:00.000001212,32,32,
1970-01-01 00:00:00.000000944,26,26,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000421,13,13,
1970-01-01 00:00:00.000000295,9,9,
1970-01-01 00:00:00.000000442,15,15,
1970-01-01 00:00:00.000000850,23,23,
1970-01-01 00:00:00.000000670,17,17,
1970-01-01 00:00:00.000000845,24,24,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000294,10,10,
1970-01-01 00:00:00.000000953,22,22,
1970-01-01 00:00:00.000000267,11,11,
1970-01-01 00:00:00.000000892,25,25,
1970-01-01 00:00:00.000000944,24,24,
1970-01-01 00:00:00.000000657,21,21,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000349,13,13,
1970-01-01 00:00:00.000000476,13,13,
1970-01-01 00:00:00.000000530,16,16,
1970-01-01 00:00:00.000000859,26,26,
1970-01-01 00:00:00.000000691,24,24,
1970-01-01 00:00:00.000001174,34,34,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000251,9,9,
1970-01-01 00:00:00.000000540,17,17,
1970-01-01 00:00:00.000000346,12,12,
1970-01-01 00:00:00.000000772,29,29,
1970-01-01 00:00:00.000001031,25,25,
1970-01-01 00:00:00.000000791,23,23,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000125,5,5,
1970-01-01 00:00:00.000000442,14,14,
1970-01-01 00:00:00.000000504,17,17,
1970-01-01 00:00:00.000001001,26,26,
1970-01-01 00:00:00.000000677,22,22,
1970-01-01 00:00:00.000000612,19,19,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000992,21,21,
1970-01-01 00:00:00.000000330,10,10,
1970-01-01 00:00:00.000000515,14,14,
1970-01-01 00:00:00.000001423,32,32,
1970-01-01 00:00:00.000001469,34,34,
1970-01-01 00:00:00.000000606,17,17,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000558,21,21,
1970-01-01 00:00:00.000000301,9,9,
1970-01-01 00:00:00.000000674,15,15,
1970-01-01 00:00:00.000000931,23,23,
1970-01-01 00:00:00.000001071,32,32,
1970-01-01 00:00:00.000001032,25,25,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000148,5,5,
1970-01-01 00:00:00.000000709,10,10,
1970-01-01 00:00:00.000000200,7,7,
1970-01-01 00:00:00.000001341,38,38,
1970-01-01 00:00:00.000000780,21,21,
1970-01-01 00:00:00.000001239,34,34,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000394,10,10,
1970-01-01 00:00:00.000000546,10,10,
1970-01-01 00:00:00.000000643,21,21,
1970-01-01 00:00:00.000001187,33,33,
1970-01-01 00:00:00.000000788,28,28,
1970-01-01 00:00:00.000000769,23,23,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000533,15,15,
1970-01-01 00:00:00.000000494,12,12,
1970-01-01 00:00:00.000000303,11,11,
1970-01-01 00:00:00.000000878,27,27,
1970-01-01 00:00:00.000000822,27,27,
1970-01-01 00:00:00.000001203,19,19,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000255,8,8,
1970-01-01 00:00:00.000000657,20,20,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000001193,36,36,
1970-01-01 00:00:00.000000842,22,22,
1970-01-01 00:00:00.000000771,19,19,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000457,13,13,
1970-01-01 00:00:00.000000330,12,12,
1970-01-01 00:00:00.000000880,24,24,
1970-01-01 00:00:00.000000981,30,30,
1970-01-01 00:00:00.000001155,37,37,
1970-01-01 00:00:00.000000954,29,29,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000472,16,16,
1970-01-01 00:00:00.000000533,17,17,
1970-01-01 00:00:00.000000721,20,20,
1970-01-01 00:00:00.000000883,26,26,
1970-01-01 00:00:00.000000947,29,29,
1970-01-01 00:00:00.000000989,32,32,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000467,14,14,
1970-01-01 00:00:00.000000456,15,15,
1970-01-01 00:00:00.000000516,16,16,
1970-01-01 00:00:00.000001057,23,23,
1970-01-01 00:00:00.000001451,37,37,
1970-01-01 00:00:00.000001055,29,29,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000376,14,14,
1970-01-01 00:00:00.000000376,10,10,
1970-01-01 00:00:00.000000774,15,15,
1970-01-01 00:00:00.000000490,14,14,
1970-01-01 00:00:00.000000837,29,29,
1970-01-01 00:00:00.000000505,17,17,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000918,16,16,
1970-01-01 00:00:00.000000176,5,5,
1970-01-01 00:00:00.000000439,17,17,
1970-01-01 00:00:00.000001058,31,31,
1970-01-01 00:00:00.000000807,28,28,
1970-01-01 00:00:00.000000591,18,18,
1970-01-01 00:00:00.000000009,1,1,
1970-01-01 00:00:00.000000267,6,6,
1970-01-01 00:00:00.000000330,8,8,
1970-01-01 00:00:00.000000606,16,16,
1970-01-01 00:00:00.000000928,35,35,
1970-01-01 00:00:00.000001530,35,35,
1970-01-01 00:00:00.000000910,25,25,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000558,18,18,
1970-01-01 00:00:00.000000228,9,9,
1970-01-01 00:00:00.000000265,8,8,
1970-01-01 00:00:00.000000825,30,30,
1970-01-01 00:00:00.000001059,12,12,
1970-01-01 00:00:00.000000595,20,20,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000320,13,13,
1970-01-01 00:00:00.000000377,14,14,
1970-01-01 00:00:00.000000352,11,11,
1970-01-01 00:00:00.000001420,37,37,
1970-01-01 00:00:00.000001492,35,35,
1970-01-01 00:00:00.000001236,31,31,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000673,11,11,
1970-01-01 00:00:00.000000251,8,8,
1970-01-01 00:00:00.000000333,8,8,
1970-01-01 00:00:00.000001015,28,28,
1970-01-01 00:00:00.000001150,39,39,
1970-01-01 00:00:00.000000535,21,21,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000173,6,6,
1970-01-01 00:00:00.000000349,13,13,
1970-01-01 00:00:00.000000250,8,8,
1970-01-01 00:00:00.000001048,37,37,
1970-01-01 00:00:00.000000701,22,22,
1970-01-01 00:00:00.000001015,25,25,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000164,7,7,
1970-01-01 00:00:00.000000306,11,11,
1970-01-01 00:00:00.000000206,7,7,
1970-01-01 00:00:00.000001185,25,25,
1970-01-01 00:00:00.000001463,39,39,
1970-01-01 00:00:00.000000671,22,22,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000283,10,10,
1970-01-01 00:00:00.000000199,7,7,
1970-01-01 00:00:00.000000498,16,16,
1970-01-01 00:00:00.000001360,52,52,
1970-01-01 00:00:00.000001104,41,41,
1970-01-01 00:00:00.000000652,17,17,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000319,10,10,
1970-01-01 00:00:00.000000234,12,12,
1970-01-01 00:00:00.000000233,8,8,
1970-01-01 00:00:00.000001373,34,34,
1970-01-01 00:00:00.000001495,40,40,
1970-01-01 00:00:00.000000586,22,22,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000253,9,9,
1970-01-01 00:00:00.000000382,11,11,
1970-01-01 00:00:00.000000431,15,15,
1970-01-01 00:00:00.000000917,28,28,
1970-01-01 00:00:00.000000469,16,16,
1970-01-01 00:00:00.000000822,26,26,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000254,14,14,
1970-01-01 00:00:00.000000360,11,11,
1970-01-01 00:00:00.000000570,12,12,
1970-01-01 00:00:00.000001030,32,32,
1970-01-01 00:00:00.000001112,32,32,
1970-01-01 00:00:00.000000501,14,14,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000379,12,12,
1970-01-01 00:00:00.000000362,16,16,
1970-01-01 00:00:00.000000505,13,13,
1970-01-01 00:00:00.000001020,32,32,
1970-01-01 00:00:00.000001157,32,32,
1970-01-01 00:00:00.000001206,33,33,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000268,10,10,
1970-01-01 00:00:00.000000406,15,15,
1970-01-01 00:00:00.000001356,22,22,
1970-01-01 00:00:00.000001115,22,22,
1970-01-01 00:00:00.000000756,19,19,
1970-01-01 00:00:00.000000740,22,22,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000463,15,15,
1970-01-01 00:00:00.000000264,10,10,
1970-01-01 00:00:00.000000303,8,8,
1970-01-01 00:00:00.000000971,33,33,
1970-01-01 00:00:00.000000849,25,25,
1970-01-01 00:00:00.000000724,23,23,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000145,8,8,
1970-01-01 00:00:00.000000420,10,10,
1970-01-01 00:00:00.000000193,5,5,
1970-01-01 00:00:00.000000819,27,27,
1970-01-01 00:00:00.000000583,16,16,
1970-01-01 00:00:00.000000461,16,16,
1970-01-01 00:00:00.000000049,2,2,
1970-01-01 00:00:00.000000296,10,10,
1970-01-01 00:00:00.000000310,9,9,
1970-01-01 00:00:00.000000514,9,9,
1970-01-01 00:00:00.000000689,19,19,
1970-01-01 00:00:00.000000760,22,22,
1970-01-01 00:00:00.000000705,25,25,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000432,14,14,
1970-01-01 00:00:00.000000453,11,11,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000651,18,18,
1970-01-01 00:00:00.000001263,29,29,
1970-01-01 00:00:00.000000875,22,22,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000273,11,11,
1970-01-01 00:00:00.000000366,13,13,
1970-01-01 00:00:00.000000404,13,13,
1970-01-01 00:00:00.000000416,15,15,
1970-01-01 00:00:00.000001111,28,28,
1970-01-01 00:00:00.000000564,17,17,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000158,7,7,
1970-01-01 00:00:00.000000287,9,9,
1970-01-01 00:00:00.000000546,13,13,
1970-01-01 00:00:00.000001524,29,29,
1970-01-01 00:00:00.000000733,23,23,
1970-01-01 00:00:00.000000839,28,28,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000132,5,5,
1970-01-01 00:00:00.000000232,7,7,
1970-01-01 00:00:00.000000520,18,18,
1970-01-01 00:00:00.000000876,25,25,
1970-01-01 00:00:00.000000471,16,16,
1970-01-01 00:00:00.000001163,28,28,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000001154,34,34,
1970-01-01 00:00:00.000001501,40,40,
1970-01-01 00:00:00.000000338,10,10,
1970-01-01 00:00:00.000000769,20,20,
1970-01-01 00:00:00.000000759,23,23,
1970-01-01 00:00:00.000000961,16,16,
1970-01-01 00:00:00.000000000,0,0,
1970-01-01 00:00:00.000000623,16,16,
